test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
TC-1,CFG-3,2020-06-25T22:04+00:00,18.83,18.107464,0.063496,0.170264,100,0.074507,0.074885,0.1378486,0.1410464
TC-1,CFG-3,2020-06-25T20:56+00:00,20.09,18.480798,0.066964,0.173209,100,0.075174,0.076029,0.1401768,0.14321509999999998
TC-1,CFG-3,2020-06-25T22:03+00:00,19.33,18.207857,0.064968,0.170971,100,0.074062,0.0741,0.1392864,0.14272820000000003
TC-1,CFG-3,2020-06-25T22:01+00:00,19.45,18.650155,0.066676,0.174844,100,0.073682,0.075114,0.1378646,0.1402798
TC-1,CFG-3,2020-06-25T22:00+00:00,19.74,18.353119,0.074194,0.170855,100,0.074161,0.074828,0.1391884,0.1416017
TC-1,CFG-4,2020-06-25T21:11+00:00,12.24,9.816059,0.102738,0.089015,100,0.042709,0.038498,0.0719226,0.0731181
TC-1,CFG-4,2020-06-25T22:14+00:00,10.32,9.451371,0.076457,0.087801,100,0.038347,0.03797,0.0697968,0.0714347
TC-1,CFG-4,2020-06-25T22:15+00:00,10.21,9.387031,0.078302,0.087054,100,0.038505,0.038759,0.0705768,0.0713956
TC-1,CFG-4,2020-06-25T22:16+00:00,10.67,9.758463,0.124221,0.086802,100,0.037069,0.03722,0.0697896,0.07086459999999999
TC-1,CFG-4,2020-06-25T22:13+00:00,11.68,9.532111,0.09026,0.08743,100,0.040434,0.037536,0.0719908,0.07250549999999999
TC-1,CFG-2,2020-06-25T21:50+00:00,36.65,36.011498,0.05353,0.341817,100,0.154787,0.146957,0.27128620000000003,0.2769631
TC-1,CFG-2,2020-06-25T21:49+00:00,36.45,35.806118,0.055074,0.339371,100,0.151369,0.156247,0.2830924,0.28371810000000003
TC-1,CFG-2,2020-06-25T21:45+00:00,38.13,36.623597,0.054272,0.347383,100,0.154806,0.149484,0.27869599999999994,0.28448900000000005
TC-1,CFG-2,2020-06-25T21:47+00:00,36.88,36.210554,0.054389,0.343427,100,0.155536,0.15468,0.2734926,0.2792545
TC-1,CFG-2,2020-06-25T20:17+00:00,38.73,38.08491,0.053515,0.361503,100,0.15659,0.16114,0.284965,0.2924827
TC-1,CFG-1,2020-06-25T21:29+00:00,38.82,37.486975,0.053051,0.355984,100,0.157396,0.157933,0.2853526,0.2912883
TC-1,CFG-1,2020-06-25T21:33+00:00,37.86,37.272319,0.052388,0.354169,100,0.153158,0.158983,0.28113099999999996,0.2869575
TC-1,CFG-1,2020-06-25T20:44+00:00,36.37,35.13075,0.053991,0.333312,100,0.15299,0.148325,0.2679226,0.2734506
TC-1,CFG-1,2020-06-25T21:35+00:00,38.14,37.554914,0.053131,0.356602,100,0.158313,0.163932,0.28258379999999994,0.28878539999999997
TC-1,CFG-1,2020-06-25T21:31+00:00,38.29,37.696178,0.053002,0.357988,100,0.156433,0.156651,0.28135260000000006,0.2866535
TC-3,CFG-3,2020-06-25T22:04+00:00,15.29,14.484669,0.042773,0.138905,100,0.111523,0.110706,0.1118844,0.12635990000000002
TC-3,CFG-3,2020-06-25T22:02+00:00,15.2,14.443657,0.049495,0.137625,100,0.104028,0.1027,0.102844,0.12083780000000002
TC-3,CFG-3,2020-06-25T22:05+00:00,15.7,14.698794,0.061545,0.138466,100,0.104077,0.10343,0.104012,0.12165599999999999
TC-3,CFG-3,2020-06-25T20:57+00:00,15.38,14.481494,0.038416,0.139458,100,0.105054,0.105334,0.10573760000000001,0.1230945
TC-3,CFG-3,2020-06-25T22:01+00:00,15.28,14.401782,0.049247,0.137258,100,0.110918,0.105054,0.1046508,0.12138849999999998
TC-3,CFG-4,2020-06-25T21:11+00:00,14.63,13.779042,0.043318,0.132069,100,0.095287,0.095219,0.0955722,0.11316249999999999
TC-3,CFG-4,2020-06-25T22:14+00:00,14.34,13.522001,0.050916,0.128669,100,0.093093,0.092896,0.0938486,0.11126450000000002
TC-3,CFG-4,2020-06-25T22:15+00:00,14.2,13.318768,0.047068,0.127201,100,0.091238,0.09093,0.0931326,0.1107307
TC-3,CFG-4,2020-06-25T22:16+00:00,14.05,13.246424,0.042292,0.127089,100,0.093003,0.09277,0.0924822,0.1102
TC-3,CFG-4,2020-06-25T22:13+00:00,14.02,13.184338,0.048542,0.12574,100,0.092029,0.09186,0.09198419999999999,0.10947310000000002
TC-3,CFG-2,2020-06-25T21:52+00:00,27.86,27.209093,0.033487,0.263275,100,0.197224,0.196466,0.19706900000000002,0.2320217
TC-3,CFG-2,2020-06-25T21:46+00:00,27.99,27.322128,0.031722,0.264821,100,0.197846,0.196422,0.19710460000000002,0.23254090000000005
TC-3,CFG-2,2020-06-25T21:50+00:00,28.01,27.307417,0.0314,0.264761,100,0.198456,0.200763,0.1990966,0.2336059
TC-3,CFG-2,2020-06-25T21:48+00:00,27.83,27.164441,0.03286,0.263002,100,0.195948,0.196777,0.197364,0.2320429
TC-3,CFG-2,2020-06-25T20:15+00:00,28.89,27.8162,0.031212,0.269743,100,0.206412,0.23836,0.2084094,0.2402775
TC-3,CFG-1,2020-06-25T20:46+00:00,26.09,25.501129,0.031408,0.247246,100,0.187142,0.185457,0.185371,0.2180694
TC-3,CFG-1,2020-06-25T21:33+00:00,26.74,26.147341,0.037162,0.252105,100,0.189434,0.187972,0.18906299999999998,0.22169879999999997
TC-3,CFG-1,2020-06-25T21:36+00:00,26.76,26.173924,0.032747,0.25344,100,0.187462,0.189627,0.1891558,0.22286650000000002
TC-3,CFG-1,2020-06-25T21:34+00:00,26.78,26.19091,0.030313,0.254204,100,0.190436,0.190929,0.1911602,0.22406450000000003
TC-3,CFG-1,2020-06-25T21:30+00:00,26.84,26.247057,0.030524,0.254696,100,0.19123,0.190495,0.1932934,0.2260819
TC-2,CFG-3,2020-06-25T22:04+00:00,7.99,7.121131,0.101681,0.064639,100,0.053096,0.05276,0.0528504,0.060662799999999996
TC-2,CFG-3,2020-06-25T22:02+00:00,7.61,6.87958,0.102148,0.06242,100,0.052248,0.052889,0.0522662,0.05930610000000001
TC-2,CFG-3,2020-06-25T22:03+00:00,7.7,6.929036,0.102275,0.062861,100,0.052755,0.053401,0.05326519999999999,0.060012199999999995
TC-2,CFG-3,2020-06-25T20:57+00:00,8.1,6.969669,0.11102,0.062732,100,0.052505,0.052219,0.0523582,0.05971610000000001
TC-2,CFG-3,2020-06-25T22:01+00:00,7.78,6.893747,0.105656,0.06235,100,0.05347,0.054612,0.053108,0.05995469999999999
TC-2,CFG-4,2020-06-25T21:11+00:00,4.87,4.080437,0.175285,0.034719,100,0.029477,0.02941,0.0295914,0.0333247
TC-2,CFG-4,2020-06-25T22:14+00:00,4.74,3.95843,0.177126,0.033628,100,0.028594,0.028369,0.028620199999999995,0.032140499999999995
TC-2,CFG-4,2020-06-25T22:15+00:00,4.75,4.022092,0.199351,0.033536,100,0.02867,0.028541,0.028591,0.032243
TC-2,CFG-4,2020-06-25T22:16+00:00,4.8,3.984689,0.18347,0.03367,100,0.028461,0.028451,0.0288806,0.03248360000000001
TC-2,CFG-4,2020-06-25T22:13+00:00,4.88,4.121362,0.232174,0.033448,100,0.028134,0.02828,0.028423600000000004,0.0319368
TC-2,CFG-2,2020-06-25T21:46+00:00,13.6,12.896921,0.060726,0.121586,100,0.103146,0.103243,0.10271699999999999,0.11693099999999998
TC-2,CFG-2,2020-06-25T20:19+00:00,13.68,12.917946,0.060589,0.1218,100,0.10322,0.102879,0.103108,0.1166341
TC-2,CFG-2,2020-06-25T21:49+00:00,13.27,12.617085,0.060182,0.119009,100,0.101284,0.10087,0.10090240000000002,0.1144139
TC-2,CFG-2,2020-06-25T21:51+00:00,13.41,12.766539,0.05917,0.120533,100,0.102639,0.103132,0.1027922,0.1161141
TC-2,CFG-2,2020-06-25T21:48+00:00,13.47,12.766266,0.062232,0.120183,100,0.101664,0.101474,0.10138479999999998,0.11520060000000001
TC-2,CFG-1,2020-06-25T21:32+00:00,12.6,12.014573,0.062485,0.11308,100,0.0951,0.095061,0.0954706,0.1083212
TC-2,CFG-1,2020-06-25T20:45+00:00,12.54,11.966382,0.062941,0.112578,100,0.095527,0.095224,0.09531360000000001,0.1080243
TC-2,CFG-1,2020-06-25T21:36+00:00,12.77,12.169255,0.061689,0.114622,100,0.096431,0.096051,0.0964716,0.10921460000000001
TC-2,CFG-1,2020-06-25T21:34+00:00,12.64,12.049746,0.061068,0.113562,100,0.09521,0.095842,0.0956368,0.1082619
TC-2,CFG-1,2020-06-25T21:30+00:00,12.79,12.196945,0.063546,0.114682,100,0.096594,0.096591,0.0963886,0.1097982
